Settlement Name,Settlement Type,Population,Ramzor color,Sick Percentages,Vaccine doses
 Ashdod,City,6989,GREEN,2.0031478036915153%,0
 Eilat,City,4000,GREEN,2.025%,0
 Beer-Sheva,City,2293,GREEN,1.962494548626254%,0
 Adirim,Moshav,912,GREEN,2.1929824561403506%,0
 Kiryat-Gat,City,3407,GREEN,2.0252421485177576%,0
 Gefet,Moshav,602,GREEN,1.9933554817275747%,0
 Jerusalem,City,12957,GREEN,2.0066373388901755%,0
 Tel-Aviv,City,11042,GREEN,2.001449012859989%,0
 Rehovot,City,3985,GREEN,2.032622333751568%,0
 Tevria,City,1698,GREEN,2.061248527679623%,0
 Palmahim,Kibbutz,1015,GREEN,1.9704433497536946%,0
 Gesher,Kibbutz,1100,GREEN,2.0%,0
